index,airport,Carrier,Duration,price,layover,minutes,legs,plane1,plane2,aircraft_ID_1,aircraft_ID_2,Carbon Leg 1,Carbon Leg 2,Total Carbon,carbon utility,no-carbon utility,carbon prob,no-carbon prob
0,SMF,Delta Basic Economy,6h 28m,$904,MSP,388,2,Boeing 737,Airbus A319,61,40,1034.42,670.11,1704.5300000000002,-12.393040019433602,-7.557661990000001,0.000504410001259173,0.001198688746217907
1,SMF,United Basic Economy,6h 42m,$518,ORD,402,2,Boeing 737,Airbus A319,61,40,1217.25,454.37,1671.62,-7.3390929556544,-3.5303773100000004,0.07901053647879556,0.06725645021528437
2,SMF,Delta Basic Economy,6h 47m,$841,ATL,407,2,Boeing 737,Airbus A321,61,42,1433.32,350.14,1783.46,-11.6768553809952,-6.900359050000001,0.001032330421186188,0.0023129671663078117
3,SMF,United Basic Economy,6h 51m,$683,ORD,411,2,Boeing 737,Airbus A319,61,40,1217.25,454.37,1671.62,-9.481322605654402,-5.2518850100000005,0.00927526859146684,0.012025209379590777
4,SMF,Delta Basic Economy,6h 57m,$591,DTW,417,2,Boeing 737,Airbus A321,61,42,1378.34,264.4,1642.7399999999998,-8.2496348107488,-4.292014050000001,0.03178642658223137,0.03140214453466623
5,SMF,American Basic Economy,7h 3m,$648,DFW,423,2,Airbus A321,Boeing 737,42,229,864.07,577.28,1441.35,-8.730043150512001,-4.886716710000001,0.01966088289432029,0.017325398181385593
6,SMF,Delta Basic Economy,7h 3m,$841,ATL,423,2,Boeing 737,Airbus A321,61,42,1433.32,350.14,1783.46,-11.6768553809952,-6.900359050000001,0.001032330421186188,0.0023129671663078117
7,SMF,United Basic Economy,7h 4m,$597,ORD,424,2,Airbus A319,Airbus A320,40,41,1250.95,398.36,1649.31,-8.336004200947201,-4.35461433,0.0291562696333153,0.029496626706181035
8,SMF,American Basic Economy,7h 10m,$790,DFW,430,2,Boeing 737,Boeing 737,229,229,687.46,577.28,1264.74,-10.345971041388802,-6.36825667,0.0039067394700620294,0.0039378447972142775
9,SMF,American Basic Economy,7h 29m,$763,DFW,449,2,Airbus A321,Airbus A321,42,42,864.07,723.87,1587.94,-10.412098051772801,-6.086555410000001,0.0036567549213286296,0.005219151432542119
10,SMF,Delta Basic Economy,7h 30m,$648,MSP,450,2,Boeing 737,Airbus A320,61,41,1034.42,585.94,1620.3600000000001,-8.9608251911232,-4.886716710000001,0.01560902045214032,0.017325398181385593
11,SMF,American Basic Economy,7h 36m,$705,PHX,456,2,Airbus A319,Airbus A321,40,42,478.07,1196.73,1674.8,-9.771052923376,-5.481419370000001,0.006942217507108927,0.009558882891332101
12,SMF,United Basic Economy,7h 41m,$492,ORD,461,2,Boeing 737,Boeing 737,61,61,1217.25,425.58,1642.83,-6.9644130499295995,-3.2591094300000005,0.11492286020323889,0.08821533444878654
13,SMF,Delta Basic Economy,7h 41m,$648,ATL,461,2,Boeing 737,Airbus A321,61,42,1433.32,350.14,1783.46,-9.1710958509952,-4.886716710000001,0.012649002032905936,0.017325398181385593
14,SMF,American Basic Economy,7h 45m,$705,ORD,465,2,Boeing 737,Boeing 737,229,229,850.87,309.09,1159.96,-9.1073144406752,-5.481419370000001,0.013482057558432832,0.009558882891332101
15,SMF,United Basic Economy   Operated by Republic Airlines DBA United Express,7h 49m,$555,IAH,469,2,Boeing 737,Embraer RJ-175,61,110,1098.25,1118.27,2216.52,-8.521963954742402,-3.9164123700000006,0.024208655091600143,0.04571734963985946
16,SMF,United Basic Economy   Operated by Republic Airlines DBA United Express,7h 49m,$683,ORD,469,2,Boeing 737,Embraer RJ-170,61,109,1217.25,604.03,1821.28,-9.674266241193601,-5.2518850100000005,0.007647722806587402,0.012025209379590777
17,SMF,United Basic Economy,7h 49m,$683,IAH,469,2,Airbus A319,Airbus A320,40,41,1132.6,749.45,1882.05,-9.752611722496,-5.2518850100000005,0.007071428071916962,0.012025209379590777
18,SMF,Delta Basic Economy,7h 50m,$841,ATL,470,2,Boeing 737,Airbus A321,61,42,1433.32,350.14,1783.46,-11.6768553809952,-6.900359050000001,0.001032330421186188,0.0023129671663078117
19,SMF,JetBlue Basic Economy,8h 1m,$800,BOS,481,2,Airbus A320,Embraer RJ-190,41,111,1669.74,328.53,1998.27,-11.421479641302401,-6.472590470000001,0.0013326834366028345,0.003547700928329361
20,SMF,Delta Basic Economy,8h 3m,$841,ATL,483,2,Boeing 737,Airbus A320,61,41,1433.32,359.77,1793.09,-11.6892705033408,-6.900359050000001,0.00101959314373988,0.0023129671663078117
21,SMF,American Basic Economy,8h 5m,$705,DFW,485,2,Airbus A321,Airbus A321,42,42,864.07,723.87,1587.94,-9.6590718717728,-5.481419370000001,0.007764812430955544,0.009558882891332101
22,SMF,United Basic Economy   Operated by Skywest DBA United Express,8h 7m,$618,SFO,487,2,Embraer RJ-175,Boeing 737,110,61,65.97,1718.61,1784.58,-8.7830434696896,-4.573715310000001,0.01864598241334763,0.023692888216691632
23,SMF,American Basic Economy,8h 9m,$704,CLT,489,2,Airbus A321,Boeing 737,42,229,1380.14,172.76,1552.9,-9.600914634048001,-5.470985990000001,0.008229782102444612,0.00965913643112461
24,SMF,Alaska Basic Economy   Operated by Horizon Air as Alaskahorizon,8h 14m,"$1,048",SEA,494,2,Embraer RJ-175,Boeing 737,110,61,560.52,1598.03,2158.55,-14.847950800176003,-9.06006871,4.33141188017319e-05,0.00026682067588150335
25,SMF,American Basic Economy,8h 24m,$763,DFW,504,2,Airbus A321,Airbus A321,42,42,864.07,723.87,1587.94,-10.412098051772801,-6.086555410000001,0.0036567549213286296,0.005219151432542119
26,SMF,American Basic Economy,8h 30m,$790,DFW,510,2,Boeing 737,Boeing 737,229,229,687.46,577.28,1264.74,-10.345971041388802,-6.36825667,0.0039067394700620294,0.0039378447972142775
27,SMF,Delta Basic Economy,8h 53m,$841,ATL,533,2,Boeing 737,Airbus A321,61,42,1433.32,350.14,1783.46,-11.6768553809952,-6.900359050000001,0.001032330421186188,0.0023129671663078117
28,SMF,United Basic Economy,8h 54m,$518,ORD,534,2,Boeing 737,Airbus A319,61,40,1217.25,454.37,1671.62,-7.3390929556544,-3.5303773100000004,0.07901053647879556,0.06725645021528437
29,SMF,United Basic Economy   Operated by Mesa Airlines DBA United Express,8h 54m,$555,IAH,534,2,Boeing 737,Embraer RJ-175,61,110,1098.25,1118.27,2216.52,-8.521963954742402,-3.9164123700000006,0.024208655091600143,0.04571734963985946
